epoch,train_rmse,val_rmse,lr
0,0.879089,0.983539,1.00e-03
1,0.707248,1.012444,9.76e-04
2,0.658816,0.880630,9.05e-04
3,0.638715,0.957738,7.94e-04
4,0.620645,0.945748,6.55e-04
5,0.597013,0.972057,5.01e-04
6,0.575858,0.944533,3.46e-04
7,0.545589,0.930160,2.07e-04
8,0.523501,0.941382,9.64e-05
9,0.509853,0.943432,2.54e-05
