epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.424664,86.6063,3.530927,41.7321,1.00e-03
1,0.163042,94.9000,4.056969,42.1250,9.97e-04
2,0.104805,96.7938,4.450678,45.3857,9.89e-04
3,0.083027,97.3812,4.029490,47.6607,9.76e-04
4,0.065574,97.9750,3.916523,47.6893,9.57e-04
5,0.049752,98.4125,3.875161,48.3821,9.33e-04
6,0.049683,98.3875,3.380737,52.1107,9.05e-04
7,0.031688,99.0312,3.015648,56.4036,8.72e-04
8,0.030771,99.0312,3.647911,52.7714,8.35e-04
9,0.034584,98.9125,3.181264,56.4393,7.94e-04
10,0.020996,99.2750,4.501924,48.8643,7.50e-04
11,0.024402,99.3187,3.926286,49.1821,7.04e-04
12,0.019775,99.4313,3.213995,56.3429,6.55e-04
13,0.017647,99.4375,3.636200,52.5786,6.04e-04
14,0.013905,99.5750,3.449022,55.9536,5.53e-04
15,0.010749,99.6500,3.580904,53.3357,5.01e-04
16,0.011069,99.6437,3.742964,54.6357,4.48e-04
17,0.009059,99.7062,3.716283,55.7857,3.97e-04
18,0.006304,99.8438,3.752452,55.7321,3.46e-04
19,0.007596,99.7375,3.694840,54.1786,2.97e-04
20,0.004660,99.8563,3.736211,56.4964,2.51e-04
21,0.006793,99.8000,3.114210,58.6393,2.07e-04
22,0.005342,99.8312,3.947310,53.3821,1.66e-04
23,0.002546,99.9250,3.474028,55.5357,1.29e-04
24,0.004037,99.8750,3.402636,56.6429,9.64e-05
25,0.002469,99.9188,3.601080,55.0107,6.79e-05
26,0.003803,99.9000,3.560711,56.1643,4.42e-05
27,0.002671,99.9500,3.469496,56.5679,2.54e-05
28,0.001698,99.9625,3.496597,56.6464,1.19e-05
29,0.002437,99.9250,3.591023,56.2214,3.74e-06
