epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.185229,94.4609,3.468596,32.6652,1.00e-03
1,0.053881,98.5312,3.940272,34.7679,9.98e-04
2,0.025879,99.2969,3.099529,42.9955,9.94e-04
3,0.024594,99.3359,3.755202,33.4241,9.86e-04
4,0.018094,99.5625,3.508331,39.5893,9.76e-04
5,0.015886,99.5547,3.106839,44.5580,9.62e-04
6,0.014072,99.5703,3.143580,43.5045,9.46e-04
7,0.010479,99.6484,2.850543,42.4598,9.26e-04
8,0.010500,99.7109,3.532605,41.1473,9.05e-04
9,0.007451,99.7891,2.832743,46.5223,8.80e-04
10,0.006754,99.7734,3.501427,41.3036,8.54e-04
11,0.012375,99.6562,4.013672,38.4464,8.25e-04
12,0.008408,99.7188,3.042494,44.5982,7.94e-04
13,0.004672,99.8594,3.003449,44.5848,7.61e-04
14,0.002669,99.9219,3.164903,47.0179,7.27e-04
15,0.003540,99.9062,5.254634,35.2857,6.92e-04
16,0.007698,99.7578,3.241665,44.0982,6.55e-04
17,0.004226,99.8516,3.082826,45.0089,6.17e-04
18,0.004092,99.9062,3.094623,43.5402,5.79e-04
19,0.000898,99.9844,2.975558,46.7545,5.40e-04
20,0.001034,99.9688,3.104633,47.4286,5.00e-04
21,0.003789,99.8750,2.687806,49.3750,4.61e-04
22,0.001480,99.9688,2.881343,45.3929,4.22e-04
23,0.000636,99.9844,2.802613,47.4196,3.84e-04
24,0.001006,99.9766,2.721490,48.5446,3.46e-04
25,0.001713,99.9453,2.476708,51.6562,3.09e-04
26,0.000395,99.9844,2.547897,51.4598,2.74e-04
27,0.000157,100.0000,2.539722,51.0938,2.40e-04
28,0.000163,100.0000,2.585513,51.5714,2.07e-04
29,0.000248,99.9922,2.587938,50.8259,1.76e-04
30,0.000291,99.9922,2.735171,50.0982,1.47e-04
31,0.000423,99.9844,3.052305,49.9866,1.21e-04
32,0.000294,99.9922,2.857222,50.1116,9.64e-05
33,0.000111,100.0000,2.751695,50.4018,7.46e-05
34,0.000096,100.0000,2.784407,50.6295,5.54e-05
35,0.000216,99.9922,2.777111,50.2946,3.90e-05
36,0.000423,99.9844,2.958484,49.5223,2.54e-05
37,0.000364,99.9844,2.885848,50.4286,1.48e-05
38,0.000460,99.9766,2.832630,50.1518,7.15e-06
39,0.000083,100.0000,2.837714,50.4420,2.54e-06
