epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.629924,79.9375,3.846085,35.8348,1.00e-03
1,0.291240,90.9531,5.523001,39.6562,9.98e-04
2,0.220367,93.1719,4.691283,44.8795,9.94e-04
3,0.161406,94.8438,4.494260,49.9330,9.86e-04
4,0.127946,95.9844,5.209852,49.2321,9.76e-04
5,0.111263,96.5156,5.079167,47.0536,9.62e-04
6,0.093275,97.0156,4.497634,45.4330,9.46e-04
7,0.084051,97.4141,3.618714,53.8348,9.26e-04
8,0.071877,97.6953,4.668389,51.4196,9.05e-04
9,0.055985,98.1719,3.503845,54.1696,8.80e-04
10,0.064950,97.8594,4.309214,54.9196,8.54e-04
11,0.053658,98.3438,4.430812,53.8080,8.25e-04
12,0.050015,98.3594,6.267063,44.5312,7.94e-04
13,0.042961,98.5781,4.287951,51.6607,7.61e-04
14,0.036072,98.8750,4.640785,52.1339,7.27e-04
15,0.035487,98.8906,4.898110,50.4688,6.92e-04
16,0.031321,99.1172,4.200499,52.6161,6.55e-04
17,0.032947,98.9375,4.467763,52.8080,6.17e-04
18,0.027829,99.0781,4.311321,50.0000,5.79e-04
19,0.031952,98.9609,4.649645,52.5982,5.40e-04
20,0.020548,99.3516,4.709383,52.3259,5.00e-04
21,0.020238,99.3359,4.021469,54.3393,4.61e-04
22,0.020209,99.3359,4.305812,53.3795,4.22e-04
23,0.015055,99.5234,4.820357,51.4018,3.84e-04
24,0.013873,99.5938,4.327096,52.8214,3.46e-04
25,0.017044,99.4453,4.609593,50.5134,3.09e-04
26,0.013866,99.5469,4.670471,51.5625,2.74e-04
27,0.009644,99.7109,4.628194,52.4732,2.40e-04
28,0.007417,99.7656,4.370679,52.5089,2.07e-04
29,0.009892,99.6328,4.486751,51.9955,1.76e-04
30,0.008445,99.7656,4.700499,51.3482,1.47e-04
31,0.007500,99.7422,4.697299,52.9464,1.21e-04
32,0.008677,99.7266,4.672299,51.9955,9.64e-05
33,0.005159,99.8594,4.730167,51.2545,7.46e-05
34,0.004777,99.8672,4.904757,50.5179,5.54e-05
35,0.005237,99.8516,4.659866,51.2232,3.90e-05
36,0.004543,99.8438,4.768288,50.2902,2.54e-05
37,0.004951,99.8438,4.701131,50.9911,1.48e-05
38,0.005291,99.8125,4.551927,50.8839,7.15e-06
39,0.004287,99.8828,4.747616,50.7545,2.54e-06
