epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.425172,86.5938,4.277605,44.6652,1.00e-03
1,0.163362,95.0547,3.244959,49.3571,9.98e-04
2,0.119786,96.2578,3.384705,53.6607,9.94e-04
3,0.100978,96.8203,3.160355,58.9866,9.86e-04
4,0.076808,97.5859,3.323940,56.9241,9.76e-04
5,0.060926,98.0078,3.130295,60.6830,9.62e-04
6,0.063768,98.1953,3.607424,62.4330,9.46e-04
7,0.052408,98.3438,3.556294,59.9777,9.26e-04
8,0.039124,98.7969,2.958316,63.9241,9.05e-04
9,0.033199,99.0078,3.489872,58.1473,8.80e-04
10,0.038589,98.8750,4.117850,57.1027,8.54e-04
11,0.039656,98.8203,3.530336,60.7321,8.25e-04
12,0.030104,99.0391,3.767728,58.8616,7.94e-04
13,0.031093,99.0859,4.021035,60.2366,7.61e-04
14,0.019774,99.4531,3.495686,62.5938,7.27e-04
15,0.019255,99.5000,4.323003,59.9643,6.92e-04
16,0.019122,99.4141,2.982447,64.6830,6.55e-04
17,0.022253,99.3438,4.338014,57.0804,6.17e-04
18,0.018405,99.3984,3.638323,63.6518,5.79e-04
19,0.013135,99.5469,3.678003,62.8393,5.40e-04
20,0.013404,99.6094,3.748267,60.8929,5.00e-04
21,0.009314,99.6953,3.897551,64.6116,4.61e-04
22,0.009550,99.6250,3.680358,63.6786,4.22e-04
23,0.009459,99.6719,3.923372,60.9911,3.84e-04
24,0.010290,99.6953,3.497952,63.4554,3.46e-04
25,0.007183,99.7812,3.507866,63.3616,3.09e-04
26,0.005692,99.8125,3.586358,65.7812,2.74e-04
27,0.005139,99.8359,3.603223,61.3884,2.40e-04
28,0.004554,99.8750,3.588099,61.6027,2.07e-04
29,0.004030,99.8672,3.603094,61.9821,1.76e-04
30,0.004530,99.8594,3.524671,63.8795,1.47e-04
31,0.004339,99.8828,3.655691,63.1473,1.21e-04
32,0.002847,99.9062,3.669371,62.6161,9.64e-05
33,0.003065,99.9062,3.618519,62.7991,7.46e-05
34,0.002920,99.8750,3.786532,61.0893,5.54e-05
35,0.003050,99.9219,3.635391,62.5446,3.90e-05
36,0.003588,99.8828,3.737025,62.2991,2.54e-05
37,0.002089,99.9375,3.830201,61.5938,1.48e-05
38,0.001906,99.9531,3.608977,62.6875,7.15e-06
39,0.002083,99.9219,3.796478,62.3705,2.54e-06
