epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.301397,90.8063,4.250420,26.6714,1.00e-03
1,0.092288,97.2562,4.295999,29.1750,9.99e-04
2,0.046330,98.6937,4.184782,29.1857,9.96e-04
3,0.041744,98.8563,4.482201,27.2964,9.91e-04
4,0.032022,99.0250,7.024066,26.0964,9.84e-04
5,0.031493,99.0750,5.282737,26.8286,9.76e-04
6,0.024040,99.2188,4.734654,31.7857,9.65e-04
7,0.021400,99.3750,5.212409,29.0714,9.52e-04
8,0.025707,99.3125,4.064186,33.6036,9.38e-04
9,0.011185,99.6688,5.895041,31.5964,9.22e-04
10,0.013760,99.6250,5.896916,27.9286,9.05e-04
11,0.019109,99.4437,5.883694,29.6071,8.85e-04
12,0.008665,99.7875,5.981711,28.9214,8.65e-04
13,0.008851,99.7438,5.491266,28.9786,8.42e-04
14,0.010508,99.6937,5.587597,29.5179,8.19e-04
15,0.011084,99.6562,5.102495,31.0643,7.94e-04
16,0.008389,99.7500,5.328565,28.9607,7.68e-04
17,0.011672,99.6813,5.565994,29.3929,7.41e-04
18,0.008102,99.7500,5.698362,26.2357,7.13e-04
19,0.005268,99.8500,5.494705,30.0357,6.84e-04
20,0.002774,99.9000,5.959926,28.8893,6.55e-04
21,0.008938,99.7313,5.147204,30.5429,6.25e-04
22,0.005999,99.8000,4.663528,31.3607,5.94e-04
23,0.004348,99.8812,4.514440,33.3321,5.63e-04
24,0.002790,99.9188,5.457337,31.9250,5.32e-04
25,0.000995,99.9875,5.176088,34.6786,5.00e-04
26,0.000830,99.9750,5.391689,33.0250,4.69e-04
27,0.000370,99.9875,5.759625,33.0964,4.38e-04
28,0.001177,99.9562,5.367002,31.6429,4.07e-04
29,0.003393,99.9188,6.054740,30.3929,3.76e-04
30,0.003292,99.8875,6.266605,29.3464,3.46e-04
31,0.001244,99.9625,6.193808,30.9143,3.17e-04
32,0.002747,99.9375,5.762288,32.2071,2.88e-04
33,0.001062,99.9688,5.534694,34.1000,2.60e-04
34,0.000814,99.9625,5.148026,35.1929,2.33e-04
35,0.000696,99.9813,5.159776,34.0036,2.07e-04
36,0.000867,99.9750,5.789433,32.2893,1.82e-04
37,0.000245,99.9938,6.351736,30.7429,1.59e-04
38,0.000683,99.9750,5.693935,30.7750,1.36e-04
39,0.000496,99.9813,5.990521,31.6607,1.16e-04
40,0.000786,99.9813,5.976604,30.9500,9.64e-05
41,0.000196,99.9938,5.813535,31.9179,7.88e-05
42,0.000184,99.9938,5.661769,32.2500,6.28e-05
43,0.000382,99.9875,5.565174,32.5821,4.85e-05
44,0.000377,99.9875,5.615226,32.1429,3.61e-05
45,0.000515,99.9813,5.489861,32.5143,2.54e-05
46,0.000158,99.9938,5.510033,32.4357,1.67e-05
47,0.000448,99.9938,5.517548,32.8214,9.85e-06
48,0.000209,99.9938,5.613096,32.1786,4.94e-06
49,0.000539,99.9813,5.631292,32.0107,1.99e-06
