epoch,train_rmse,val_rmse,lr
0,0.856143,1.146039,1.00e-03
1,0.708887,1.170518,9.76e-04
2,0.688486,1.223450,9.05e-04
3,0.647816,1.055809,7.94e-04
4,0.612777,1.254372,6.55e-04
5,0.597919,0.980398,5.01e-04
6,0.580833,1.290334,3.46e-04
7,0.569160,0.967470,2.07e-04
8,0.544801,0.952449,9.64e-05
9,0.535809,0.954297,2.54e-05
