epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.335535,89.7500,2.250943,54.4688,1.00e-03
1,0.119593,96.1328,2.943684,52.3884,9.98e-04
2,0.076055,97.5000,2.443701,55.4866,9.94e-04
3,0.048724,98.4609,3.211684,54.5938,9.86e-04
4,0.049336,98.3750,2.803347,58.1429,9.76e-04
5,0.037723,98.9453,2.876742,55.6786,9.62e-04
6,0.034005,98.9531,2.773934,56.9509,9.46e-04
7,0.027283,99.1484,2.731864,56.8348,9.26e-04
8,0.017165,99.4922,3.069172,56.0670,9.05e-04
9,0.021102,99.3359,3.733410,53.1250,8.80e-04
10,0.017955,99.4062,2.664275,56.3438,8.54e-04
11,0.020983,99.4375,2.665461,57.6607,8.25e-04
12,0.017708,99.3594,2.726284,58.9330,7.94e-04
13,0.015992,99.5781,2.500622,58.1161,7.61e-04
14,0.009739,99.7266,2.678486,60.0938,7.27e-04
15,0.011794,99.6016,2.864766,58.3839,6.92e-04
16,0.007285,99.7891,2.953101,59.1562,6.55e-04
17,0.008864,99.7188,3.071250,57.3973,6.17e-04
18,0.010437,99.6562,2.733796,60.7500,5.79e-04
19,0.008835,99.7344,2.858350,59.5045,5.40e-04
20,0.007668,99.7734,2.963525,56.4107,5.00e-04
21,0.004501,99.8750,2.669807,60.6161,4.61e-04
22,0.003493,99.8750,2.562918,63.0893,4.22e-04
23,0.003802,99.8359,2.942724,61.2857,3.84e-04
24,0.004482,99.8516,2.557523,60.7321,3.46e-04
25,0.003522,99.8828,3.461810,59.1562,3.09e-04
26,0.003191,99.9062,2.975821,60.6339,2.74e-04
27,0.002734,99.9297,2.782328,61.6205,2.40e-04
28,0.001129,99.9609,2.633805,63.3170,2.07e-04
29,0.000952,99.9609,2.665081,62.8080,1.76e-04
30,0.001251,99.9531,2.512685,64.6964,1.47e-04
31,0.000544,99.9844,2.608223,63.4420,1.21e-04
32,0.001379,99.9609,2.609812,62.9598,9.64e-05
33,0.001109,99.9609,2.523832,64.6518,7.46e-05
34,0.001419,99.9688,2.442979,64.1786,5.54e-05
35,0.000420,99.9922,2.572014,64.2232,3.90e-05
36,0.000253,100.0000,2.557895,63.8482,2.54e-05
37,0.000523,99.9922,2.569016,64.0179,1.48e-05
38,0.001169,99.9609,2.564925,64.0134,7.15e-06
39,0.000377,99.9922,2.615495,63.4464,2.54e-06
