epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.167747,95.1562,3.381761,35.6536,1.00e-03
1,0.043640,98.7562,3.768440,34.8786,9.99e-04
2,0.026705,99.1750,3.304085,42.5107,9.96e-04
3,0.022917,99.2875,3.335869,41.2643,9.91e-04
4,0.021904,99.2875,4.826509,30.7536,9.84e-04
5,0.008884,99.7313,3.083769,41.7893,9.76e-04
6,0.015563,99.6125,3.020984,41.7786,9.65e-04
7,0.007108,99.8187,3.566732,37.7393,9.52e-04
8,0.014697,99.5750,2.677956,43.0679,9.38e-04
9,0.004889,99.8250,3.251207,43.2107,9.22e-04
10,0.003178,99.9250,2.981132,42.4571,9.05e-04
11,0.013363,99.6063,3.474589,40.2964,8.85e-04
12,0.007677,99.7250,3.451684,40.1250,8.65e-04
13,0.013793,99.6000,3.683920,37.8464,8.42e-04
14,0.003875,99.8625,3.357548,39.7929,8.19e-04
15,0.008193,99.7938,3.581565,39.1714,7.94e-04
16,0.003208,99.9313,3.359834,41.7071,7.68e-04
17,0.000566,99.9938,3.644557,40.8143,7.41e-04
18,0.003357,99.9188,3.717921,38.3464,7.13e-04
19,0.010183,99.7000,3.309522,40.2179,6.84e-04
20,0.005807,99.8563,3.517641,38.8786,6.55e-04
21,0.002515,99.9375,4.342052,37.7393,6.25e-04
22,0.000387,99.9938,3.908233,38.2714,5.94e-04
23,0.002566,99.9313,3.284123,39.5107,5.63e-04
24,0.003753,99.8812,3.482470,40.5214,5.32e-04
25,0.003740,99.8812,3.965008,39.6107,5.00e-04
26,0.001653,99.9625,3.265463,43.1071,4.69e-04
27,0.003019,99.9250,3.531359,40.0321,4.38e-04
28,0.000578,99.9875,3.454405,42.0714,4.07e-04
29,0.000867,99.9750,3.468888,41.1179,3.76e-04
30,0.000415,99.9875,3.514671,41.6286,3.46e-04
31,0.000522,99.9813,4.001554,37.7679,3.17e-04
32,0.001142,99.9813,3.721057,38.8393,2.88e-04
33,0.001650,99.9625,3.564923,40.1357,2.60e-04
34,0.000200,99.9938,3.517822,39.5429,2.33e-04
35,0.001927,99.9688,3.501174,40.7464,2.07e-04
36,0.000880,99.9875,3.382405,40.7571,1.82e-04
37,0.000357,99.9875,3.330916,41.4250,1.59e-04
38,0.000348,99.9813,3.440018,41.3393,1.36e-04
39,0.000371,99.9875,3.682300,40.3714,1.16e-04
40,0.000245,99.9938,3.558800,40.7500,9.64e-05
41,0.000078,100.0000,3.475313,41.1714,7.88e-05
42,0.000081,100.0000,3.516511,41.1857,6.28e-05
43,0.000141,99.9938,3.470172,41.5857,4.85e-05
44,0.000395,99.9875,3.463615,41.8750,3.61e-05
45,0.000145,99.9938,3.414584,42.2750,2.54e-05
46,0.000261,99.9938,3.545976,41.2357,1.67e-05
47,0.000225,99.9938,3.529885,41.6036,9.85e-06
48,0.000291,99.9938,3.427950,41.9536,4.94e-06
49,0.000028,100.0000,3.522341,41.5429,1.99e-06
