epoch,train_loss,l_normal,l_scl,val_loss,lr
0,3.419171,0.700596,2.718575,0.565702,1.00e-08
1,0.071584,0.048702,0.022882,0.025970,1.00e-05
2,0.038633,0.028030,0.010604,0.021416,2.00e-05

