epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.350729,89.0703,5.037711,32.4420,1.00e-03
1,0.117652,96.3516,4.157848,29.1652,9.98e-04
2,0.082813,97.3516,4.427706,33.7991,9.94e-04
3,0.068773,97.8984,4.731584,32.9107,9.86e-04
4,0.050261,98.4688,4.677757,37.0402,9.76e-04
5,0.042612,98.8984,5.168863,31.7143,9.62e-04
6,0.039112,98.8672,4.763677,32.8705,9.46e-04
7,0.023815,99.2188,4.893451,36.6830,9.26e-04
8,0.023284,99.3438,5.156418,36.6071,9.05e-04
9,0.025671,99.2266,6.677199,34.1741,8.80e-04
10,0.023372,99.3438,5.035060,35.7723,8.54e-04
11,0.019721,99.3984,6.325958,31.9866,8.25e-04
12,0.019820,99.4062,5.801667,35.1161,7.94e-04
13,0.017391,99.4844,6.055342,35.1875,7.61e-04
14,0.020236,99.3594,5.711922,35.5759,7.27e-04
15,0.007411,99.7344,4.842790,39.1830,6.92e-04
16,0.010108,99.6953,5.145793,37.0179,6.55e-04
17,0.012451,99.5703,4.408406,37.1429,6.17e-04
18,0.006007,99.8594,5.615728,37.2723,5.79e-04
19,0.006379,99.7812,5.610425,35.3839,5.40e-04
20,0.004701,99.8516,5.426543,36.4286,5.00e-04
21,0.010482,99.7109,4.841937,37.7634,4.61e-04
22,0.004261,99.9141,5.752526,35.4598,4.22e-04
23,0.004583,99.8438,4.608349,38.0938,3.84e-04
24,0.002017,99.9297,4.769227,36.2054,3.46e-04
25,0.003021,99.8984,4.481015,36.9062,3.09e-04
26,0.002042,99.9219,4.944374,38.1562,2.74e-04
27,0.002241,99.9219,5.016502,38.2098,2.40e-04
28,0.001256,99.9609,4.741775,37.5000,2.07e-04
29,0.001133,99.9688,5.132196,36.2902,1.76e-04
30,0.001204,99.9531,4.856061,37.1562,1.47e-04
31,0.001382,99.9609,5.057385,36.5268,1.21e-04
32,0.001024,99.9844,5.026473,37.1607,9.64e-05
33,0.000591,99.9922,5.092058,36.7991,7.46e-05
34,0.001163,99.9609,4.904537,37.0179,5.54e-05
35,0.000822,99.9766,4.759677,38.2277,3.90e-05
36,0.000324,100.0000,4.937986,37.6384,2.54e-05
37,0.001163,99.9609,4.878014,37.6786,1.48e-05
38,0.000620,99.9688,4.821434,37.8795,7.15e-06
39,0.001104,99.9688,4.794862,38.0000,2.54e-06
