epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.385951,87.8047,3.114095,48.7232,1.00e-03
1,0.154917,95.3438,3.192253,53.8170,9.98e-04
2,0.094499,97.0000,3.306022,51.7232,9.94e-04
3,0.079385,97.5078,2.702815,59.2768,9.86e-04
4,0.061072,98.0078,2.714114,58.5045,9.76e-04
5,0.055192,98.3047,3.322617,55.8705,9.62e-04
6,0.046619,98.5469,3.215642,58.8259,9.46e-04
7,0.041196,98.7266,3.566580,59.3125,9.26e-04
8,0.025680,99.2188,3.569806,59.6205,9.05e-04
9,0.034939,98.8906,4.470256,56.9196,8.80e-04
10,0.026276,99.2109,3.618767,59.8214,8.54e-04
11,0.022685,99.2812,3.623197,60.6205,8.25e-04
12,0.023543,99.3516,3.463802,58.4107,7.94e-04
13,0.016422,99.5078,3.231724,62.9196,7.61e-04
14,0.028416,99.0312,2.952379,64.0268,7.27e-04
15,0.019809,99.3750,3.223912,65.1741,6.92e-04
16,0.025384,99.2734,3.465587,63.0402,6.55e-04
17,0.012457,99.5938,3.459499,61.8884,6.17e-04
18,0.010611,99.6406,3.673902,61.2545,5.79e-04
19,0.013250,99.5625,3.609390,62.3304,5.40e-04
20,0.012695,99.6484,3.839308,61.6875,5.00e-04
21,0.010770,99.6875,3.277213,65.5580,4.61e-04
22,0.009358,99.6875,3.334402,65.3795,4.22e-04
23,0.009821,99.6484,3.759174,61.9821,3.84e-04
24,0.008632,99.7422,4.332242,60.2723,3.46e-04
25,0.009073,99.6719,3.535482,62.4241,3.09e-04
26,0.005387,99.8047,3.883011,61.9241,2.74e-04
27,0.005649,99.8125,3.940765,61.3661,2.40e-04
28,0.005592,99.8516,3.717961,62.0357,2.07e-04
29,0.003589,99.8984,3.897305,61.9554,1.76e-04
30,0.003411,99.8984,3.614505,63.4688,1.47e-04
31,0.002708,99.9297,3.538549,63.9643,1.21e-04
32,0.003116,99.9062,3.740837,62.3482,9.64e-05
33,0.003697,99.8828,3.463485,64.6071,7.46e-05
34,0.003224,99.9141,3.773391,62.6696,5.54e-05
35,0.002415,99.9375,3.695374,63.7411,3.90e-05
36,0.002914,99.9219,3.875269,62.3304,2.54e-05
37,0.001754,99.9375,3.822359,62.3795,1.48e-05
38,0.001382,99.9766,3.651095,63.2768,7.15e-06
39,0.002367,99.9062,3.777583,63.1384,2.54e-06
