epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.288623,90.8906,3.870168,43.5580,1.00e-03
1,0.085150,97.4141,3.521476,51.0357,9.98e-04
2,0.047010,98.6094,4.286842,46.8438,9.94e-04
3,0.043760,98.6875,3.771954,49.2723,9.86e-04
4,0.025654,99.1250,4.879908,43.9330,9.76e-04
5,0.018054,99.4609,3.745563,48.6071,9.62e-04
6,0.026444,99.1641,4.291286,41.7902,9.46e-04
7,0.016443,99.4062,3.592373,47.5804,9.26e-04
8,0.018513,99.4922,4.191572,47.6741,9.05e-04
9,0.009717,99.7344,4.295128,45.8795,8.80e-04
10,0.010555,99.6406,4.046404,50.0938,8.54e-04
11,0.008674,99.7578,4.481832,43.3884,8.25e-04
12,0.017654,99.4453,6.176488,41.7946,7.94e-04
13,0.007159,99.8125,4.765436,49.7902,7.61e-04
14,0.012008,99.6172,4.416005,49.1339,7.27e-04
15,0.006011,99.8203,3.531677,51.4286,6.92e-04
16,0.004929,99.8359,4.439814,48.5982,6.55e-04
17,0.008810,99.7422,4.425121,48.5804,6.17e-04
18,0.002374,99.9297,4.477221,45.8259,5.79e-04
19,0.006443,99.8438,4.105451,48.4152,5.40e-04
20,0.003027,99.8984,3.792369,49.8482,5.00e-04
21,0.002674,99.9375,4.095738,49.1250,4.61e-04
22,0.002178,99.9453,4.756967,47.1830,4.22e-04
23,0.003259,99.8750,3.240584,53.7545,3.84e-04
24,0.001424,99.9453,3.987116,52.0446,3.46e-04
25,0.002521,99.9375,4.487936,50.3259,3.09e-04
26,0.002547,99.9375,4.661866,49.1964,2.74e-04
27,0.001252,99.9609,4.920131,48.2946,2.40e-04
28,0.001345,99.9766,4.525633,48.1295,2.07e-04
29,0.000450,99.9844,4.315726,48.8973,1.76e-04
30,0.000378,99.9922,4.173657,50.6964,1.47e-04
31,0.000382,99.9844,4.350268,48.9821,1.21e-04
32,0.000396,99.9922,4.187508,50.3080,9.64e-05
33,0.000411,99.9844,4.069544,50.8214,7.46e-05
34,0.000253,99.9922,4.117194,51.1786,5.54e-05
35,0.000341,99.9922,4.307445,50.6027,3.90e-05
36,0.000125,100.0000,4.287013,50.5670,2.54e-05
37,0.000470,99.9766,4.278091,50.5759,1.48e-05
38,0.000068,100.0000,4.299229,50.4018,7.15e-06
39,0.000233,100.0000,4.300878,50.6562,2.54e-06
