epoch,train_loss,train_acc,val_loss,val_acc,lr
20,0.000608,99.9875,3.925351,49.0786,2.51e-04
0,0.321693,89.9000,3.955838,36.6393,1.00e-03
21,0.000282,99.9938,4.016298,48.4357,2.07e-04
22,0.000379,99.9938,4.074520,48.4071,1.66e-04
23,0.000515,99.9875,3.995107,48.7500,1.29e-04
24,0.000421,99.9875,3.822976,48.3179,9.64e-05
25,0.000580,99.9938,4.218886,47.2179,6.79e-05
26,0.000181,100.0000,4.179002,46.8429,4.42e-05
27,0.000172,100.0000,4.154348,47.0679,2.54e-05
28,0.000694,99.9938,4.218581,46.9286,1.19e-05
29,0.000208,100.0000,4.147387,46.9786,3.74e-06
