epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.301862,90.7266,2.900751,41.2054,1.00e-03
1,0.083855,97.4766,5.264103,27.0580,9.98e-04
2,0.072224,97.7734,4.827966,32.5536,9.94e-04
3,0.031226,99.0078,3.750246,35.1116,9.86e-04
4,0.043330,98.6875,3.779240,33.9241,9.76e-04
5,0.025916,99.1797,4.150850,37.1875,9.62e-04
6,0.031048,98.9688,4.689032,33.0536,9.46e-04
7,0.022265,99.3359,4.171525,36.8214,9.26e-04
8,0.019555,99.4844,5.438215,34.2634,9.05e-04
9,0.018712,99.3906,4.984095,32.3259,8.80e-04
10,0.019678,99.3672,4.094247,37.3080,8.54e-04
11,0.006457,99.7891,4.641566,36.6429,8.25e-04
12,0.017200,99.5391,4.606010,32.5179,7.94e-04
13,0.013926,99.5781,4.325245,33.4375,7.61e-04
14,0.004879,99.8906,4.587138,37.5670,7.27e-04
15,0.007606,99.7891,4.494970,39.7679,6.92e-04
16,0.007999,99.7266,5.439616,38.6875,6.55e-04
17,0.010270,99.7031,4.435732,36.6696,6.17e-04
18,0.007912,99.7188,4.881623,34.9688,5.79e-04
19,0.003955,99.8984,4.577361,37.6920,5.40e-04
20,0.004296,99.8516,5.050225,36.6027,5.00e-04
21,0.002865,99.9297,4.968346,35.5491,4.61e-04
22,0.001130,99.9766,5.087485,35.8125,4.22e-04
23,0.000939,99.9688,5.027479,36.5938,3.84e-04
24,0.001536,99.9453,4.800231,37.4420,3.46e-04
25,0.000943,99.9766,5.130003,38.2098,3.09e-04
26,0.000952,99.9844,4.788448,39.1384,2.74e-04
27,0.001079,99.9609,4.878808,40.7946,2.40e-04
28,0.000804,99.9844,4.601271,40.0402,2.07e-04
29,0.001435,99.9609,4.734213,39.4330,1.76e-04
30,0.000667,99.9844,5.028694,37.4688,1.47e-04
31,0.000538,99.9922,4.849055,38.3705,1.21e-04
32,0.000353,99.9922,4.929094,38.6071,9.64e-05
33,0.000799,99.9766,4.716086,39.1964,7.46e-05
34,0.000123,100.0000,4.693720,39.4643,5.54e-05
35,0.000755,99.9766,4.674018,39.6607,3.90e-05
36,0.000302,99.9922,4.650014,39.5134,2.54e-05
37,0.000624,99.9766,4.661457,38.8973,1.48e-05
38,0.000112,100.0000,4.628952,39.2768,7.15e-06
39,0.000916,99.9844,4.648395,39.1295,2.54e-06
