epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.159734,95.3203,3.994736,35.2634,1.00e-03
1,0.042811,98.8672,3.451811,40.9911,9.98e-04
2,0.019686,99.4062,3.848810,43.1562,9.94e-04
3,0.030830,99.1562,3.880550,39.7009,9.86e-04
4,0.013550,99.6250,3.777547,40.9375,9.76e-04
5,0.021655,99.3672,3.608966,43.9509,9.62e-04
6,0.012923,99.6484,3.876233,42.7946,9.46e-04
7,0.006511,99.8047,3.825570,40.8750,9.26e-04
8,0.013366,99.6250,4.871025,38.1518,9.05e-04
9,0.010703,99.7344,5.168096,38.8348,8.80e-04
10,0.004884,99.8672,4.293200,42.6696,8.54e-04
11,0.005133,99.8594,4.318657,41.3080,8.25e-04
12,0.005507,99.8438,3.778408,44.4911,7.94e-04
13,0.004232,99.8984,3.377596,44.7634,7.61e-04
14,0.005458,99.8516,3.561025,44.0446,7.27e-04
15,0.001314,99.9844,3.942748,43.0982,6.92e-04
16,0.002415,99.9297,3.288626,44.5670,6.55e-04
17,0.001742,99.9375,3.722401,42.4911,6.17e-04
18,0.001120,99.9609,3.451487,45.0893,5.79e-04
19,0.002534,99.9219,3.894670,42.0536,5.40e-04
20,0.001909,99.9297,3.921447,43.7188,5.00e-04
21,0.003724,99.8828,4.313615,40.0625,4.61e-04
22,0.004416,99.8984,3.953450,43.0982,4.22e-04
23,0.000337,99.9922,3.995068,43.0536,3.84e-04
24,0.000887,99.9609,3.959601,43.7679,3.46e-04
25,0.001147,99.9453,4.118813,41.8527,3.09e-04
26,0.000725,99.9766,4.117174,44.8304,2.74e-04
27,0.000678,99.9844,3.909002,45.5536,2.40e-04
28,0.000489,99.9844,4.058041,44.9911,2.07e-04
29,0.000089,100.0000,3.888291,44.9152,1.76e-04
30,0.000282,99.9844,4.036634,44.3571,1.47e-04
31,0.000084,100.0000,4.034732,44.4196,1.21e-04
32,0.000124,100.0000,4.034901,44.3170,9.64e-05
33,0.000153,100.0000,3.984012,44.4866,7.46e-05
34,0.000103,99.9922,4.064429,44.5625,5.54e-05
35,0.000065,100.0000,4.108770,44.0536,3.90e-05
36,0.000182,99.9922,4.075202,44.1384,2.54e-05
37,0.000158,99.9922,3.979271,44.7188,1.48e-05
38,0.000316,99.9844,3.966694,44.5536,7.15e-06
39,0.000177,100.0000,3.818049,45.0312,2.54e-06
