epoch,train_loss,train_acc,val_loss,val_acc,lr
0,0.317048,90.0687,3.750366,41.1286,1.00e-03
1,0.109446,96.6688,2.913618,46.7857,9.97e-04
2,0.058897,98.2562,3.082449,45.0571,9.89e-04
3,0.054037,98.3250,2.713028,50.3429,9.76e-04
4,0.033748,99.0250,2.632405,51.6607,9.57e-04
5,0.026834,99.1188,2.496909,50.0929,9.33e-04
6,0.024283,99.2750,3.019263,52.0179,9.05e-04
7,0.018136,99.4125,2.922332,49.9500,8.72e-04
8,0.016573,99.4875,2.642143,50.6536,8.35e-04
9,0.010886,99.6750,3.032780,49.1000,7.94e-04
10,0.009963,99.7250,2.932670,53.3214,7.50e-04
11,0.008672,99.7562,2.715684,53.2464,7.04e-04
12,0.012548,99.6188,3.169143,45.1536,6.55e-04
13,0.010732,99.7062,2.616143,57.4679,6.04e-04
14,0.006840,99.7938,2.405800,57.0786,5.53e-04
15,0.004494,99.8750,2.592821,55.4036,5.01e-04
16,0.004877,99.8750,2.552966,55.0250,4.48e-04
17,0.001956,99.9188,3.035147,53.5857,3.97e-04
18,0.007454,99.7812,3.115365,54.2000,3.46e-04
19,0.002450,99.9188,2.550932,57.3821,2.97e-04
20,0.000990,99.9688,2.926938,54.2857,2.51e-04
21,0.001137,99.9562,3.152304,52.8464,2.07e-04
22,0.000797,99.9875,3.073771,53.9643,1.66e-04
23,0.000708,99.9813,3.068629,55.2929,1.29e-04
24,0.000590,99.9813,3.113168,54.8071,9.64e-05
25,0.000460,99.9813,3.101199,54.8964,6.79e-05
26,0.001205,99.9750,3.044222,54.7821,4.42e-05
27,0.000360,99.9938,3.093357,54.8000,2.54e-05
28,0.000151,100.0000,3.088116,54.9500,1.19e-05
29,0.000333,99.9938,3.079264,55.3750,3.74e-06
